idJogo;nome;descricao;datacriacao
1;Aetheria Online;MMORPG de fantasia épica.;2024-01-10
2;Chronos Rift;RPG de ação com viagem no tempo.;2023-05-20
3;Dino Dash Racing;Jogo de corrida arcade mobile.;2024-03-15
4;Shadow Protocol;Stealth game cyberpunk.;2023-09-01
5;Galactic Frontier;Simulador de estratégia espacial.;2024-06-01
6;Mystic Isles;Quebra-cabeça de aventura.;2024-02-28
7;Cyber Runner;Plataforma 2D de ritmo rápido.;2023-11-11
8;Forge of Legends;Jogo de construção de cidade.;2024-04-05
9;Pixel Quest;RPG retrô em pixel art.;2023-10-20
10;Deep Sea Hunter;Simulador de submarino.;2024-05-15
11;Starship Odyssey;Simulador de navegação espacial.;2024-07-01
12;Desert Scavenger;Survival no deserto.;2023-12-01
13;Neon Drift;Jogo de corrida estilo arcade.;2024-08-10
14;Castle Siege;Tower defense medieval.;2023-08-01
15;Lost Relic;Aventura point-and-click.;2024-01-01
16;Space Mercenary;Jogo de tiro tático.;2024-09-01
17;Eternal Echoes;Visual novel com escolhas morais.;2023-06-15
18;The Last Sentinel;Jogo de tiro em primeira pessoa.;2024-07-25
19;Quantum Field;Jogo de quebra-cabeça físico.;2024-04-20
20;Mythic Creatures;Simulador de criação de monstros.;2023-10-05