idProjeto,idJogo,idVersaoEngine,nomeProjeto,dataInicio,dataPrevTermino,status
1,1,1,CR - Módulo de Combate,2025-08-01,2026-03-30,Em Andamento
2,1,2,CR - Expansão I: O Despertar,2026-04-01,2027-01-20,Em Planejamento
3,2,7,DD - UI/UX Mobile,2025-09-10,2025-12-15,Em Andamento
4,3,5,DDR - Port para PS5,2025-11-01,2026-05-01,Em Andamento
5,4,8,SP - Design de Nível 3,2025-07-01,2025-11-30,Concluído
6,5,3,GF - Otimização de Rede,2025-06-15,2025-10-15,Concluído
7,6,10,MI - Testes QA Finais,2025-10-20,2025-12-10,Em Andamento
8,7,12,CR - Animações 2D,2025-08-20,2026-01-05,Em Andamento
9,8,13,FL - Nova Arquitetura,2025-05-10,2025-11-25,Em Andamento
10,9,15,PQ - Refatoração de Código,2025-03-01,2025-10-01,Concluído
11,10,16,DSH - Modelagem 3D Submarino,2025-04-01,2025-11-01,Concluído
12,11,1,SO - Sistema de Comércio,2025-09-01,2026-02-28,Em Andamento
13,12,2,DS - Texturização de Ambiente,2025-10-01,2026-01-15,Em Andamento
14,13,7,ND - Efeitos Visuais,2025-08-15,2025-12-20,Em Andamento
15,14,5,CS - Balanceamento,2025-07-01,2025-10-30,Concluído
16,15,8,LR - Tradução (JP),2025-09-05,2025-11-05,Em Andamento
17,16,1,SM - Ajustes de Gameplay,2025-06-01,2025-09-01,Concluído
18,17,1,EE - Roteiro Cap. 5,2025-11-01,2026-01-31,Em Andamento
19,18,6,LS - Otimização FPS,2025-10-10,2026-03-01,Em Andamento
20,19,4,QF - Resolução de Bugs,2025-09-01,2025-11-15,Em Andamento